451544, 451541
305029, 299889
233668, 233667
589196, 589186
723755, 723756
506430, 506428
190944, 190938
526545, 578947
106043, 106038
876265, 875980
49881, 49896
15032, 54688
133971, 133962
110164, 110156
557633, 555411
230418, 746216
497327, 493115
415895, 415391
758702, 716194
641220, 627399
294877, 294880
826508, 826511
184981, 357960
687991, 687983
156593, 120837
374644, 374650
267226, 267211
861115, 672668
325867, 325861
748472, 749253
776993, 744896
306204, 296453
534587, 534575
842178, 842163
144575, 144569
577399, 627007
863145, 863144
181676, 181664
879365, 879341
677965, 677922
764477, 764478
339904, 204196
360927, 930172
754005, 754006
84883, 84884
695469, 695464
93027, 93021
508833, 728555
459973, 442309
543403, 35934
604401, 604406
312681, 312669
767229, 767340
758762, 758867
884993, 56
95174, 560587
536204, 536199
604061, 604071
614934, 614909
90867, 711211
82338, 81847
298202, 298203
578335, 550055
100556, 100545
797225, 797179
506251, 504151
45618, 776937
931127, 931130
756023, 755686
358273, 358238
593007, 592890
502814, 502807
149371, 154321
781832, 781777
193841, 193834
923700, 923708
169367, 332777
368646, 369092
28033, 57012
462662, 12578
225072, 225073
514773, 514776
336471, 336457
650762, 650768
340247, 179650
738886, 738897
402398, 402394
502247, 502245
923414, 659116
195330, 195326
498714, 500984
50469, 50467
653414, 653413
582273, 582261
154001, 157252
208871, 295144
111562, 112449
647554, 647556
162222, 162217
531324, 531331
